ReforzarBrillo,C,120000,3682662,3682662
ReforzarBrillo,C,120000,3744381,3744381
ReforzarBrillo,C,120000,5679915,5679915
ReforzarBrillo,C,120000,3556459,3556459
ReforzarBrillo,C,120000,3528813,3528813
ReforzarBrillo,C,120000,3409248,3409248
ReforzarBrillo,C,120000,3433528,3433528
ReforzarBrillo,C,131072,4209576,4209576
ReforzarBrillo,C,131072,3740828,3740828
ReforzarBrillo,C,131072,3804586,3804586
ReforzarBrillo,C,131072,4036651,4036651
ReforzarBrillo,C,131072,4846996,4846996
ReforzarBrillo,C,131072,3519408,3519408
ReforzarBrillo,C,131072,3886876,3886876
ReforzarBrillo,C,131072,3725352,3725352
ReforzarBrillo,C,131072,3952982,3952982
ReforzarBrillo,C,131072,3793373,3793373
ReforzarBrillo,C,480000,13011610,13011610
ReforzarBrillo,C,480000,13168121,13168121
ReforzarBrillo,C,480000,13195413,13195413
ReforzarBrillo,C,480000,12857032,12857032
ReforzarBrillo,C,480000,12284146,12284146
ReforzarBrillo,C,480000,17391496,17391496
ReforzarBrillo,C,480000,12628211,12628211
ReforzarBrillo,C,480000,13037186,13037186
ReforzarBrillo,C,480000,13398449,13398449
ReforzarBrillo,C,480000,12434594,12434594
ReforzarBrillo,C,1920000,48696078,48696078
ReforzarBrillo,C,1920000,50029679,50029679
ReforzarBrillo,C,1920000,49572027,49572027
ReforzarBrillo,C,1920000,47803864,47803864
ReforzarBrillo,C,1920000,52279653,52279653
ReforzarBrillo,C,1920000,50570934,50570934
ReforzarBrillo,C,1920000,47158411,47158411
ReforzarBrillo,C,1920000,48116598,48116598
ReforzarBrillo,C,1920000,52638772,52638772
ReforzarBrillo,C,1920000,47262524,47262524
